Chunk_ID,Size_Bytes,SignTime_uS,VerifyTime_uS,Valid
980,4096,135,130.90,True
981,4096,173,175.10,True
982,4096,181,419.50,True
983,4096,143,544.70,True
984,4096,181,360.10,True
985,4096,145,339.40,True
986,4096,176,128.50,True
987,4096,142,336.70,True
988,4096,176,332.00,True
989,4096,142,441.30,True
990,4096,178,299.90,True
991,4096,143,333.20,True
992,4096,181,164.80,True
993,4096,143,328.00,True
994,4096,180,349.60,True
995,4096,145,327.70,True
996,4096,179,320.90,True
997,4096,181,177.90,True
998,4096,147,129.30,True
999,4096,181,176.30,True
1000,4096,143,243.30,True
1001,4096,146,399.70,True
1002,4096,139,225.30,True
1003,4096,153,117.50,True
1004,4096,136,105.90,True
1005,4096,135,116.80,True
1006,4096,135,103.80,True
1007,4096,133,116.40,True
1008,4096,135,106.00,True
1009,4096,136,186.70,True
1010,4096,181,266.10,True
1011,4096,179,563.90,True
1012,4096,179,364.40,True
1013,4096,143,336.60,True
1014,4096,180,457.70,True
1015,4096,184,236.20,True
1016,4096,142,165.30,True
1017,4096,181,448.60,True
1018,4096,143,251.40,True
1019,4096,138,336.30,True
1020,4096,177,361.90,True
1021,4096,142,426.30,True
1022,4096,178,334.20,True
1023,4096,147,427.40,True
1024,4096,185,362.70,True
1025,4096,142,385.70,True
1026,4096,178,128.80,True
1027,4096,142,521.00,True
1028,4096,196,187.80,True
1029,4096,144,466.40,True
1030,4096,176,178.70,True
1031,4096,145,187.40,True
1032,4096,175,363.70,True
1033,4096,143,451.40,True
1034,4096,237,268.10,True
1035,4096,144,195.80,True
1036,4096,178,127.20,True
1037,4096,151,464.40,True
1038,4096,233,130.10,True
1039,4096,146,172.70,True
1040,4096,180,266.80,True
1041,4096,138,451.30,True
1042,4096,176,345.60,True
1043,4096,164,533.60,True
1044,4096,181,130.10,True
1045,4096,137,337.30,True
1046,4096,177,366.70,True
1047,4096,138,525.90,True
1048,4096,192,364.40,True
1049,4096,140,485.70,True
1050,4096,179,414.10,True
1051,4096,157,177.70,True
1052,4096,184,333.30,True
